levels;alpha_beta;method;trial;turns;outcome;real_time;date;time
1;1;weighted;18;34;whites_won;0.7679460048675537;2022-05-19;00:26:48.240261
1;1;weighted;19;33;whites_won;0.32213878631591797;2022-05-19;00:26:49.011199
1;1;weighted;20;48;black_won;0.25531721115112305;2022-05-19;00:26:49.335332
1;1;weighted;21;57;whites_won;0.3680152893066406;2022-05-19;00:26:49.591647
1;1;weighted;22;34;black_won;0.2593059539794922;2022-05-19;00:26:49.961658
1;1;weighted;23;61;whites_won;0.7420153617858887;2022-05-19;00:26:50.224953
1;1;weighted;24;36;black_won;0.3011937141418457;2022-05-19;00:26:50.968964
1;1;weighted;25;31;whites_won;0.25831007957458496;2022-05-19;00:26:51.271155
1;1;weighted;26;34;whites_won;0.9055790901184082;2022-05-19;00:26:51.530462
1;1;weighted;27;36;black_won;0.46774888038635254;2022-05-19;00:26:52.439033
1;1;weighted;28;54;black_won;0.6452741622924805;2022-05-19;00:26:52.907779
1;1;weighted;29;57;whites_won;0.34707140922546387;2022-05-19;00:26:53.554051
1;1;weighted;30;36;black_won;0.20545053482055664;2022-05-19;00:26:53.903118
1;1;weighted;31;36;black_won;0.2782559394836426;2022-05-19;00:26:54.109566
1;1;weighted;32;37;whites_won;0.2672853469848633;2022-05-19;00:26:54.388819
1;1;weighted;33;50;black_won;0.23138141632080078;2022-05-19;00:26:54.658099
1;1;weighted;34;59;whites_won;0.3749969005584717;2022-05-19;00:26:54.890478
1;1;weighted;35;42;black_won;0.3041865825653076;2022-05-19;00:26:55.266472
1;1;weighted;36;34;black_won;0.17852258682250977;2022-05-19;00:26:55.571656
1;1;weighted;37;35;whites_won;0.24434685707092285;2022-05-19;00:26:55.751176
1;1;weighted;38;34;black_won;0.1795196533203125;2022-05-19;00:26:55.997517
1;1;weighted;39;25;whites_won;0.1904900074005127;2022-05-19;00:26:56.178035
1;1;weighted;40;36;black_won;0.2563145160675049;2022-05-19;00:26:56.371517
1;1;weighted;41;48;black_won;0.25830936431884766;2022-05-19;00:26:56.628829
1;1;weighted;42;57;whites_won;0.5295839309692383;2022-05-19;00:26:56.888135
1;1;weighted;43;35;whites_won;0.295210599899292;2022-05-19;00:26:57.419714
1;1;weighted;44;34;whites_won;0.798863410949707;2022-05-19;00:26:57.716919
1;1;weighted;45;33;whites_won;0.33310937881469727;2022-05-19;00:26:58.518775
1;1;weighted;46;43;whites_won;0.23437261581420898;2022-05-19;00:26:58.853879
1;1;weighted;47;59;whites_won;0.4109008312225342;2022-05-19;00:26:59.089249
1;1;weighted;48;25;whites_won;0.1825118064880371;2022-05-19;00:26:59.501148
2;0;simple;0;31;whites_won;0.40019917488098145;2022-05-19;00:26:41.770543
2;0;simple;1;29;whites_won;0.41449570655822754;2022-05-19;00:26:42.186364
2;0;simple;2;57;whites_won;0.7654454708099365;2022-05-19;00:26:42.616481
2;0;simple;3;29;whites_won;0.40615415573120117;2022-05-19;00:26:43.381927
2;0;simple;4;94;draw;9.378007888793945;2022-05-19;00:26:43.788081
2;0;simple;5;43;whites_won;0.8078393936157227;2022-05-19;00:26:53.178057
2;0;simple;6;74;draw;6.938445329666138;2022-05-19;00:26:53.986894
2;0;simple;7;68;draw;6.656200170516968;2022-05-19;00:27:00.928332
2;0;simple;8;39;whites_won;0.5694773197174072;2022-05-19;00:27:07.586527
2;0;simple;9;68;draw;6.723066568374634;2022-05-19;00:27:08.156004
2;0;simple;10;57;whites_won;0.9216582775115967;2022-05-19;00:27:14.879070
2;0;simple;11;41;whites_won;0.5967183113098145;2022-05-19;00:27:15.800729
2;0;simple;12;34;black_won;0.6502606868743896;2022-05-19;00:27:16.399441
2;0;simple;13;31;whites_won;0.5794503688812256;2022-05-19;00:27:17.050700
2;0;simple;14;74;draw;7.690434694290161;2022-05-19;00:27:17.631148
2;0;simple;15;57;whites_won;0.9184722900390625;2022-05-19;00:27:25.324574
